"T","X","Y","Z"
"2020-08-19 19:36:14.191","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.193","0.458949","9.790912","0.611932"
"2020-08-19 19:36:14.195","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.197","0.305966","9.484945","0.458949"
"2020-08-19 19:36:14.199","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.201","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.203","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.205","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.207","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.209","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.211","0.305966","9.637929","0.611932"
"2020-08-19 19:36:14.213","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.215","0.305966","9.484945","0.764915"
"2020-08-19 19:36:14.217","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.219","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.221","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.223","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.225","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.227","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.229","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.231","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.233","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.235","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.237","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.239","0.305966","9.484945","0.458949"
"2020-08-19 19:36:14.241","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.243","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.245","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.247","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.249","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.251","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.253","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.255","0.305966","9.484945","0.458949"
"2020-08-19 19:36:14.257","0.305966","9.637929","0.458949"
"2020-08-19 19:36:14.259","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.261","0.458949","9.790912","0.458949"
"2020-08-19 19:36:14.263","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.265","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.267","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.269","0.611932","9.637929","0.764915"
"2020-08-19 19:36:14.271","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.273","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.275","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.277","0.305966","9.637929","0.458949"
"2020-08-19 19:36:14.279","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.281","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.283","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.285","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.287","0.611932","9.637929","0.611932"
"2020-08-19 19:36:14.289","0.458949","9.790912","0.458949"
"2020-08-19 19:36:14.291","0.305966","9.637929","0.611932"
"2020-08-19 19:36:14.293","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.295","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.297","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.299","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.301","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.303","0.305966","9.484945","0.611932"
"2020-08-19 19:36:14.305","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.307","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.309","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.311","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.313","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.315","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.317","0.611932","9.637929","0.611932"
"2020-08-19 19:36:14.319","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.321","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.323","0.611932","9.484945","0.764915"
"2020-08-19 19:36:14.325","0.305966","9.637929","0.611932"
"2020-08-19 19:36:14.327","0.305966","9.637929","0.764915"
"2020-08-19 19:36:14.329","0.305966","9.637929","0.611932"
"2020-08-19 19:36:14.331","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.333","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.335","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.337","0.611932","9.484945","0.611932"
"2020-08-19 19:36:14.339","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.341","0.458949","9.484945","0.764915"
"2020-08-19 19:36:14.343","0.458949","9.790912","0.611932"
"2020-08-19 19:36:14.345","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.347","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.349","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.351","0.611932","9.637929","0.611932"
"2020-08-19 19:36:14.353","0.305966","9.637929","0.458949"
"2020-08-19 19:36:14.355","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.357","0.611932","9.637929","0.611932"
"2020-08-19 19:36:14.359","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.361","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.364","0.611932","9.637929","0.611932"
"2020-08-19 19:36:14.365","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.367","0.611932","9.637929","0.458949"
"2020-08-19 19:36:14.369","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.371","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.373","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.375","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.377","0.305966","9.484945","0.611932"
"2020-08-19 19:36:14.379","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.381","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.383","0.305966","9.637929","0.611932"
"2020-08-19 19:36:14.385","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.387","0.305966","9.637929","0.611932"
"2020-08-19 19:36:14.389","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.391","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.393","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.395","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.397","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.399","0.458949","9.331963","0.611932"
"2020-08-19 19:36:14.401","0.305966","9.637929","0.458949"
"2020-08-19 19:36:14.403","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.405","0.611932","9.637929","0.611932"
"2020-08-19 19:36:14.407","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.409","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.412","0.305966","9.484945","0.611932"
"2020-08-19 19:36:14.413","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.415","0.611932","9.484945","0.458949"
"2020-08-19 19:36:14.417","0.305966","9.637929","0.458949"
"2020-08-19 19:36:14.419","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.422","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.423","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.425","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.427","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.429","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.431","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.433","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.435","0.611932","9.637929","0.764915"
"2020-08-19 19:36:14.437","0.458949","9.484945","0.764915"
"2020-08-19 19:36:14.439","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.441","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.443","0.611932","9.484945","0.764915"
"2020-08-19 19:36:14.445","0.458949","9.637929","0.764915"
"2020-08-19 19:36:14.447","0.458949","9.484945","0.764915"
"2020-08-19 19:36:14.449","0.305966","9.637929","0.458949"
"2020-08-19 19:36:14.451","0.458949","9.484945","0.764915"
"2020-08-19 19:36:14.453","0.305966","9.637929","0.458949"
"2020-08-19 19:36:14.455","0.458949","9.637929","0.611932"
"2020-08-19 19:36:14.457","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.459","0.305966","9.637929","0.611932"
"2020-08-19 19:36:14.461","0.305966","9.637929","0.764915"
"2020-08-19 19:36:14.463","0.458949","9.484945","0.458949"
"2020-08-19 19:36:14.465","0.458949","9.790912","0.611932"
"2020-08-19 19:36:14.467","0.458949","9.484945","0.611932"
"2020-08-19 19:36:14.469","0.305966","9.637929","0.764915"
"2020-08-19 19:36:14.471","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.473","0.611932","9.637929","0.611932"
"2020-08-19 19:36:14.475","0.305966","9.484945","0.764915"
"2020-08-19 19:36:14.477","0.458949","9.637929","0.458949"
"2020-08-19 19:36:14.479","0.458949","9.484945","0.611932"
